	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_svc__C	param_svc__class_weight	param_svc__kernel	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.020524263381958008	0.0020468794521222968	0.0032407760620117186	0.00023651946922534576	1e-05	balanced	linear	{'svc__C': 1e-05, 'svc__class_weight': 'balanced', 'svc__kernel': 'linear'}	0.14285714285714285	0.16666666666666666	0.4523809523809524	0.14634146341463414	0.14634146341463414	0.21091753774680605	0.1210248538961961	20
1	0.01642270088195801	0.0008403614628527438	0.0028897762298583985	0.00023678436965887797	1e-05		linear	{'svc__C': 1e-05, 'svc__class_weight': None, 'svc__kernel': 'linear'}	0.47619047619047616	0.47619047619047616	0.4523809523809524	0.4634146341463415	0.4634146341463415	0.4663182346109175	0.009011458648674002	1
2	0.02123579978942871	0.0012610268160793113	0.003281259536743164	0.00035864223945563056	0.0001	balanced	linear	{'svc__C': 0.0001, 'svc__class_weight': 'balanced', 'svc__kernel': 'linear'}	0.14285714285714285	0.40476190476190477	0.11904761904761904	0.4634146341463415	0.4634146341463415	0.31869918699186994	0.15496650331492876	17
3	0.01824803352355957	0.0005375338861019149	0.002956104278564453	0.00020252001084441887	0.0001		linear	{'svc__C': 0.0001, 'svc__class_weight': None, 'svc__kernel': 'linear'}	0.47619047619047616	0.47619047619047616	0.4523809523809524	0.4634146341463415	0.4634146341463415	0.4663182346109175	0.009011458648674002	1
4	0.021642589569091798	0.0005071559988224716	0.00287628173828125	0.00033388919597801157	0.001	balanced	linear	{'svc__C': 0.001, 'svc__class_weight': 'balanced', 'svc__kernel': 'linear'}	0.14285714285714285	0.16666666666666666	0.14285714285714285	0.17073170731707318	0.4634146341463415	0.21730545876887342	0.12360277608454237	19
5	0.0182492733001709	0.0008843463382152798	0.0027320384979248047	8.641086630000894e-05	0.001		linear	{'svc__C': 0.001, 'svc__class_weight': None, 'svc__kernel': 'linear'}	0.47619047619047616	0.4523809523809524	0.47619047619047616	0.4634146341463415	0.4634146341463415	0.4663182346109175	0.009011458648674002	1
6	0.021366643905639648	0.0007636675846968761	0.0028551101684570314	0.000400011709067956	0.01	balanced	linear	{'svc__C': 0.01, 'svc__class_weight': 'balanced', 'svc__kernel': 'linear'}	0.30952380952380953	0.23809523809523808	0.19047619047619047	0.14634146341463414	0.3902439024390244	0.25493612078977934	0.08662506460898296	18
7	0.0186920166015625	0.0007459405098207108	0.0031206607818603516	0.0003489231264948145	0.01		linear	{'svc__C': 0.01, 'svc__class_weight': None, 'svc__kernel': 'linear'}	0.47619047619047616	0.4523809523809524	0.4523809523809524	0.43902439024390244	0.4634146341463415	0.4566782810685249	0.01244747476568532	5
8	0.019373607635498048	0.0010166552046137554	0.0027544498443603516	0.00024015031370046354	0.1	balanced	linear	{'svc__C': 0.1, 'svc__class_weight': 'balanced', 'svc__kernel': 'linear'}	0.5	0.40476190476190477	0.40476190476190477	0.3170731707317073	0.43902439024390244	0.41312427409988384	0.05930241254296396	10
9	0.01819601058959961	0.0007181887666537108	0.003004932403564453	0.00035941603883581834	0.1		linear	{'svc__C': 0.1, 'svc__class_weight': None, 'svc__kernel': 'linear'}	0.4523809523809524	0.42857142857142855	0.4523809523809524	0.4634146341463415	0.4878048780487805	0.456910569105691	0.019188032357127245	4
10	0.021642494201660156	0.0009214971586298331	0.0030354022979736327	0.00046236525802461557	1.0	balanced	linear	{'svc__C': 1.0, 'svc__class_weight': 'balanced', 'svc__kernel': 'linear'}	0.40476190476190477	0.35714285714285715	0.35714285714285715	0.3170731707317073	0.34146341463414637	0.3555168408826946	0.028655815250051463	16
11	0.02119026184082031	0.0009252153548216067	0.0026853084564208984	0.00010729535397943169	1.0		linear	{'svc__C': 1.0, 'svc__class_weight': None, 'svc__kernel': 'linear'}	0.38095238095238093	0.38095238095238093	0.42857142857142855	0.43902439024390244	0.36585365853658536	0.3990708478513357	0.02907407492611363	14
12	0.022395992279052736	0.0008032203901606411	0.0028011322021484373	0.00031713913511838184	10.0	balanced	linear	{'svc__C': 10.0, 'svc__class_weight': 'balanced', 'svc__kernel': 'linear'}	0.47619047619047616	0.42857142857142855	0.5	0.36585365853658536	0.3902439024390244	0.4321718931475028	0.05041292636661241	8
13	0.02239546775817871	0.0008562307626903661	0.0029257774353027345	0.00029455256787764373	10.0		linear	{'svc__C': 10.0, 'svc__class_weight': None, 'svc__kernel': 'linear'}	0.42857142857142855	0.40476190476190477	0.4523809523809524	0.4878048780487805	0.3902439024390244	0.4327526132404181	0.034710160236759845	7
14	0.02341141700744629	0.001705924020342073	0.002838802337646484	0.00023372290900974655	100.0	balanced	linear	{'svc__C': 100.0, 'svc__class_weight': 'balanced', 'svc__kernel': 'linear'}	0.42857142857142855	0.35714285714285715	0.42857142857142855	0.4146341463414634	0.3902439024390244	0.4038327526132404	0.027222334473344392	13
15	0.02317509651184082	0.0030073877957814397	0.0030685901641845704	0.00035207653815327704	100.0		linear	{'svc__C': 100.0, 'svc__class_weight': None, 'svc__kernel': 'linear'}	0.4523809523809524	0.42857142857142855	0.47619047619047616	0.4634146341463415	0.3902439024390244	0.44216027874564456	0.03031247633916014	6
16	0.022369909286499023	0.0020771814341009444	0.0025682926177978517	0.00010300845945852509	1000.0	balanced	linear	{'svc__C': 1000.0, 'svc__class_weight': 'balanced', 'svc__kernel': 'linear'}	0.42857142857142855	0.35714285714285715	0.4523809523809524	0.4146341463414634	0.3902439024390244	0.40859465737514516	0.03267055064919277	12
17	0.022577476501464844	0.0023210429892326166	0.002587413787841797	0.0003597686146612636	1000.0		linear	{'svc__C': 1000.0, 'svc__class_weight': None, 'svc__kernel': 'linear'}	0.42857142857142855	0.2857142857142857	0.47619047619047616	0.4634146341463415	0.3902439024390244	0.4088269454123112	0.06842450163430303	11
18	0.02228693962097168	0.0019451675150078617	0.0025253772735595705	0.00017287681027382964	10000.0	balanced	linear	{'svc__C': 10000.0, 'svc__class_weight': 'balanced', 'svc__kernel': 'linear'}	0.42857142857142855	0.38095238095238093	0.4523809523809524	0.4146341463414634	0.3902439024390244	0.4133565621370499	0.025846676430401363	9
19	0.021135902404785155	0.0013645489134850508	0.0025511264801025392	0.00024257992736013702	10000.0		linear	{'svc__C': 10000.0, 'svc__class_weight': None, 'svc__kernel': 'linear'}	0.38095238095238093	0.2857142857142857	0.4523809523809524	0.43902439024390244	0.3902439024390244	0.38966318234610914	0.05873948575020633	15
